Simulated pressure (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated pressure (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Pressure	
(hr) (psia)                                                                                                                                                                	
0.00000 5000.33                                                                                                                                                            	
6.00000 300.000                                                                                                                                                            	
7.92980 300.000                                                                                                                                                            	
11.6687 300.000                                                                                                                                                            	
19.1464 300.000                                                                                                                                                            	
34.1018 300.000                                                                                                                                                            	
64.0127 300.000                                                                                                                                                            	
121.854 300.000                                                                                                                                                            	
237.537 300.000                                                                                                                                                            	
460.753 300.000                                                                                                                                                            	
855.477 300.000                                                                                                                                                            	
1585.43 300.000                                                                                                                                                            	
2999.81 300.000                                                                                                                                                            	
4535.81 300.000                                                                                                                                                            	
6071.81 300.000                                                                                                                                                            	
7607.81 300.000                                                                                                                                                            	
9143.81 300.000                                                                                                                                                            	
10679.8 300.000                                                                                                                                                            	
12215.8 300.000                                                                                                                                                            	
13751.8 300.000                                                                                                                                                            	
15287.8 300.000                                                                                                                                                            	
16823.8 300.000                                                                                                                                                            	
18359.8 300.000                                                                                                                                                            	
19895.8 300.000                                                                                                                                                            	
21431.8 300.000                                                                                                                                                            	
22967.8 300.000                                                                                                                                                            	
24503.8 300.000                                                                                                                                                            	
26039.8 300.000                                                                                                                                                            	
27575.8 300.000                                                                                                                                                            	
29111.8 300.000                                                                                                                                                            	
30647.8 300.000                                                                                                                                                            	
32183.8 300.000                                                                                                                                                            	
33719.8 300.000                                                                                                                                                            	
35255.8 300.000                                                                                                                                                            	
36791.8 300.000                                                                                                                                                            	
38327.8 300.000                                                                                                                                                            	
39863.8 300.000                                                                                                                                                            	
41399.8 300.000                                                                                                                                                            	
42935.8 300.000                                                                                                                                                            	
44471.8 300.000                                                                                                                                                            	
46007.8 300.000                                                                                                                                                            	
47543.8 300.000                                                                                                                                                            	
49079.8 300.000                                                                                                                                                            	
50615.8 300.000                                                                                                                                                            	
52151.8 300.000                                                                                                                                                            	
53687.8 300.000                                                                                                                                                            	
55223.8 300.000                                                                                                                                                            	
56759.8 300.000                                                                                                                                                            	
58295.8 300.000                                                                                                                                                            	
59831.8 300.000                                                                                                                                                            	
61367.8 300.000                                                                                                                                                            	
62903.8 300.000                                                                                                                                                            	
