Simulated gas rate (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas rate (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Gas rate downhole	
(hr) (Mcf/D)                                                                                                                                                                        	
0.00000 0.00000                                                                                                                                                                     	
6.00000 683.542                                                                                                                                                                     	
7.92980 475.692                                                                                                                                                                     	
11.6687 356.744                                                                                                                                                                     	
19.1464 267.583                                                                                                                                                                     	
34.1018 198.217                                                                                                                                                                     	
64.0127 144.897                                                                                                                                                                     	
121.854 105.478                                                                                                                                                                     	
237.537 75.9287                                                                                                                                                                     	
460.753 54.5738                                                                                                                                                                     	
855.477 39.8645                                                                                                                                                                     	
1585.43 29.1821                                                                                                                                                                     	
2999.81 21.1977                                                                                                                                                                     	
4535.81 16.9448                                                                                                                                                                     	
6071.81 14.4133                                                                                                                                                                     	
7607.81 12.7156                                                                                                                                                                     	
9143.81 11.4859                                                                                                                                                                     	
10679.8 10.5466                                                                                                                                                                     	
12215.8 9.80091                                                                                                                                                                     	
13751.8 9.19131                                                                                                                                                                     	
15287.8 8.68141                                                                                                                                                                     	
16823.8 8.24699                                                                                                                                                                     	
18359.8 7.87125                                                                                                                                                                     	
19895.8 7.54216                                                                                                                                                                     	
21431.8 7.25085                                                                                                                                                                     	
22967.8 6.99064                                                                                                                                                                     	
24503.8 6.75636                                                                                                                                                                     	
26039.8 6.54399                                                                                                                                                                     	
27575.8 6.35030                                                                                                                                                                     	
29111.8 6.17270                                                                                                                                                                     	
30647.8 6.00907                                                                                                                                                                     	
32183.8 5.85766                                                                                                                                                                     	
33719.8 5.71699                                                                                                                                                                     	
35255.8 5.58585                                                                                                                                                                     	
36791.8 5.46318                                                                                                                                                                     	
38327.8 5.34808                                                                                                                                                                     	
39863.8 5.23980                                                                                                                                                                     	
41399.8 5.13766                                                                                                                                                                     	
42935.8 5.04108                                                                                                                                                                     	
44471.8 4.94954                                                                                                                                                                     	
46007.8 4.86261                                                                                                                                                                     	
47543.8 4.77988                                                                                                                                                                     	
49079.8 4.70101                                                                                                                                                                     	
50615.8 4.62546                                                                                                                                                                     	
52151.8 4.55340                                                                                                                                                                     	
53687.8 4.48432                                                                                                                                                                     	
55223.8 4.41802                                                                                                                                                                     	
56759.8 4.35428                                                                                                                                                                     	
58295.8 4.29295                                                                                                                                                                     	
59831.8 4.23383                                                                                                                                                                     	
61367.8 4.17680                                                                                                                                                                     	
62903.8 4.12170                                                                                                                                                                     	
64439.8 4.06842                                                                                                                                                                     	
65975.8 4.01685                                                                                                                                                                     	
67511.8 3.96688                                                                                                                                                                     	
69047.8 3.91841                                                                                                                                                                     	
70583.8 3.87136                                                                                                                                                                     	
72119.8 3.82566                                                                                                                                                                     	
73655.8 3.78120                                                                                                                                                                     	
75191.8 3.73794                                                                                                                                                                     	
76727.8 3.69582                                                                                                                                                                     	
78263.8 3.65476                                                                                                                                                                     	
79799.8 3.61472                                                                                                                                                                     	
81335.8 3.57564                                                                                                                                                                     	
82871.8 3.53749                                                                                                                                                                     	
84407.8 3.50021                                                                                                                                                                     	
85943.8 3.46377                                                                                                                                                                     	
87600.0 3.42539                                                                                                                                                                     	
89136.0 3.39058                                                                                                                                                                     	
90672.0 3.35648                                                                                                                                                                     	
92208.0 3.32309                                                                                                                                                                     	
93744.0 3.29037                                                                                                                                                                     	
95280.0 3.25829                                                                                                                                                                     	
96816.0 3.22683                                                                                                                                                                     	
98352.0 3.19596                                                                                                                                                                     	
99888.0 3.16566                                                                                                                                                                     	
1.01424E+5 3.13592                                                                                                                                                                  	
1.02960E+5 3.10671                                                                                                                                                                  	
1.04496E+5 3.07801                                                                                                                                                                  	
1.06032E+5 3.04981                                                                                                                                                                  	
