Pressure Z µg cg
psia  cp psi⁻¹
14.6959 0.998758 0.0135411 0.0681362
24.6959 0.997915 0.0135444 0.0405803
34.6959 0.997073 0.0135483 0.0289085
44.6959 0.996234 0.0135526 0.0224595
54.6959 0.995396 0.0135573 0.0183685
64.6959 0.99456 0.0135623 0.0155422
74.6959 0.993725 0.0135677 0.0134726
84.6959 0.992893 0.0135733 0.0118917
94.6959 0.992063 0.0135791 0.0106446
104.696 0.991234 0.0135853 0.00963577
114.696 0.990407 0.0135916 0.00880281
124.696 0.989582 0.0135982 0.00810343
134.696 0.988759 0.013605 0.00750787
144.696 0.987938 0.013612 0.00699461
154.696 0.987119 0.0136192 0.0065477
164.696 0.986302 0.0136266 0.00615503
174.696 0.985487 0.0136341 0.0058073
184.696 0.984674 0.0136419 0.00549721
194.696 0.983863 0.0136498 0.00521896
204.696 0.983054 0.0136579 0.00496787
214.696 0.982248 0.0136661 0.00474016
224.696 0.981443 0.0136746 0.00453271
234.696 0.98064 0.0136831 0.00434292
244.696 0.97984 0.0136919 0.00416862
254.696 0.979041 0.0137008 0.004008
264.696 0.978245 0.0137098 0.0038595
274.696 0.977451 0.013719 0.0037218
284.696 0.976658 0.0137283 0.00359377
294.696 0.975869 0.0137378 0.0034744
304.696 0.975081 0.0137475 0.00336286
314.696 0.974296 0.0137572 0.00325839
324.696 0.973513 0.0137671 0.00316035
334.696 0.972733 0.0137772 0.00306815
344.696 0.971954 0.0137874 0.00298129
354.696 0.971178 0.0137977 0.00289931
364.696 0.970405 0.0138081 0.00282182
374.696 0.969634 0.0138187 0.00274845
384.696 0.968865 0.0138294 0.00267888
394.696 0.968098 0.0138403 0.00261283
404.696 0.967334 0.0138512 0.00255003
414.696 0.966573 0.0138623 0.00249025
424.696 0.965814 0.0138736 0.00243327
434.696 0.965057 0.0138849 0.0023789
444.696 0.964303 0.0138964 0.00232696
454.696 0.963552 0.013908 0.0022773
464.696 0.962803 0.0139197 0.00222976
474.696 0.962056 0.0139316 0.00218421
484.696 0.961313 0.0139435 0.00214054
494.696 0.960571 0.0139556 0.00209861
504.696 0.959833 0.0139679 0.00205834
514.696 0.959097 0.0139802 0.00201962
524.696 0.958364 0.0139926 0.00198237
534.696 0.957633 0.0140052 0.0019465
544.696 0.956905 0.0140179 0.00191193
554.696 0.95618 0.0140307 0.0018786
564.696 0.955458 0.0140437 0.00184644
574.696 0.954739 0.0140567 0.00181539
584.696 0.954022 0.0140699 0.00178539
594.696 0.953308 0.0140831 0.00175639
604.696 0.952597 0.0140965 0.00172833
614.696 0.951889 0.0141101 0.00170118
624.696 0.951183 0.0141237 0.00167489
634.696 0.950481 0.0141374 0.00164941
644.696 0.949781 0.0141513 0.00162472
654.696 0.949085 0.0141652 0.00160076
664.696 0.948391 0.0141793 0.00157752
674.696 0.947701 0.0141935 0.00155496
684.696 0.947013 0.0142078 0.00153304
694.696 0.946329 0.0142223 0.00151175
704.696 0.945647 0.0142368 0.00149105
714.696 0.944969 0.0142515 0.00147092
724.696 0.944293 0.0142662 0.00145133
734.696 0.943621 0.0142811 0.00143227
744.696 0.942952 0.0142961 0.0014137
754.696 0.942286 0.0143112 0.00139562
764.696 0.941623 0.0143264 0.00137801
774.696 0.940964 0.0143417 0.00136083
784.696 0.940307 0.0143571 0.00134409
794.696 0.939654 0.0143727 0.00132775
804.696 0.939004 0.0143883 0.00131181
814.696 0.938358 0.0144041 0.00129625
824.696 0.937714 0.0144199 0.00128106
834.696 0.937074 0.0144359 0.00126623
844.696 0.936438 0.014452 0.00125173
854.696 0.935805 0.0144682 0.00123756
864.696 0.935175 0.0144845 0.00122371
874.696 0.934548 0.0145009 0.00121017
884.696 0.933925 0.0145174 0.00119692
894.696 0.933305 0.0145341 0.00118396
904.696 0.932689 0.0145508 0.00117128
914.696 0.932077 0.0145677 0.00115886
924.696 0.931467 0.0145846 0.0011467
934.696 0.930862 0.0146017 0.00113479
944.696 0.93026 0.0146189 0.00112313
954.696 0.929661 0.0146361 0.00111169
964.696 0.929066 0.0146535 0.00110049
974.696 0.928475 0.014671 0.0010895
984.696 0.927887 0.0146886 0.00107873
994.696 0.927303 0.0147063 0.00106817
1004.70 0.926723 0.0147241 0.0010578
1014.70 0.926146 0.0147421 0.00104763
1024.70 0.925573 0.0147601 0.00103765
1034.70 0.925004 0.0147782 0.00102785
1044.70 0.924438 0.0147964 0.00101823
1054.70 0.923877 0.0148148 0.00100878
1064.70 0.923319 0.0148332 9.99500E-4
1074.70 0.922765 0.0148518 9.90383E-4
1084.70 0.922214 0.0148705 9.81423E-4
1094.70 0.921668 0.0148892 9.72618E-4
1104.70 0.921125 0.0149081 9.63963E-4
1114.70 0.920586 0.0149271 9.55453E-4
1124.70 0.920051 0.0149461 9.47085E-4
1134.70 0.91952 0.0149653 9.38855E-4
1144.70 0.918993 0.0149846 9.30759E-4
1154.70 0.91847 0.015004 9.22793E-4
1164.70 0.917951 0.0150235 9.14955E-4
1174.70 0.917436 0.0150431 9.07241E-4
1184.70 0.916925 0.0150628 8.99648E-4
