Simulated reservoir pressure (Run 1 - Model output ) - 1151 points_Elapsed time Simulated reservoir pressure (Run 1 - Model output ) - 1151 points_Pressure	
(hr) (psia)                                                                                                                                                	
0.00000 5000.00                                                                                                                                            	
6.00000 4985.35                                                                                                                                            	
7.92980 4982.34                                                                                                                                            	
11.6687 4977.85                                                                                                                                            	
19.1464 4971.03                                                                                                                                            	
34.1018 4960.86                                                                                                                                            	
64.0127 4945.92                                                                                                                                            	
121.854 4924.92                                                                                                                                            	
237.537 4894.70                                                                                                                                            	
460.753 4852.84                                                                                                                                            	
855.477 4798.84                                                                                                                                            	
1585.43 4725.68                                                                                                                                            	
2999.81 4622.65                                                                                                                                            	
4535.81 4533.87                                                                                                                                            	
6071.81 4458.56                                                                                                                                            	
7607.81 4392.15                                                                                                                                            	
9143.81 4332.15                                                                                                                                            	
10679.8 4277.02                                                                                                                                            	
12215.8 4225.77                                                                                                                                            	
13751.8 4177.67                                                                                                                                            	
15287.8 4132.22                                                                                                                                            	
16823.8 4089.02                                                                                                                                            	
18359.8 4047.78                                                                                                                                            	
19895.8 4008.26                                                                                                                                            	
21431.8 3970.27                                                                                                                                            	
22967.8 3933.64                                                                                                                                            	
24503.8 3898.25                                                                                                                                            	
26039.8 3863.98                                                                                                                                            	
27575.8 3830.75                                                                                                                                            	
29111.8 3798.47                                                                                                                                            	
30647.8 3767.08                                                                                                                                            	
32183.8 3736.52                                                                                                                                            	
33719.8 3706.72                                                                                                                                            	
35255.8 3677.66                                                                                                                                            	
36791.8 3649.28                                                                                                                                            	
38327.8 3621.55                                                                                                                                            	
39863.8 3594.43                                                                                                                                            	
41399.8 3567.89                                                                                                                                            	
42935.8 3541.92                                                                                                                                            	
44471.8 3516.48                                                                                                                                            	
46007.8 3491.54                                                                                                                                            	
47543.8 3467.09                                                                                                                                            	
49079.8 3443.12                                                                                                                                            	
50615.8 3419.53                                                                                                                                            	
52151.8 3396.38                                                                                                                                            	
53687.8 3373.64                                                                                                                                            	
55223.8 3351.32                                                                                                                                            	
56759.8 3329.38                                                                                                                                            	
58295.8 3307.82                                                                                                                                            	
59831.8 3286.62                                                                                                                                            	
61367.8 3265.78                                                                                                                                            	
62903.8 3245.28                                                                                                                                            	
64439.8 3225.11                                                                                                                                            	
65975.8 3205.26                                                                                                                                            	
67511.8 3185.72                                                                                                                                            	
69047.8 3166.48                                                                                                                                            	
70583.8 3147.54                                                                                                                                            	
72119.8 3128.89                                                                                                                                            	
73655.8 3110.51                                                                                                                                            	
75191.8 3092.40                                                                                                                                            	
76727.8 3074.55                                                                                                                                            	
78263.8 3056.96                                                                                                                                            	
79799.8 3039.62                                                                                                                                            	
81335.8 3022.53                                                                                                                                            	
82871.8 3005.66                                                                                                                                            	
84407.8 2989.03                                                                                                                                            	
85943.8 2972.63                                                                                                                                            	
87600.0 2955.19                                                                                                                                            	
89136.0 2939.23                                                                                                                                            	
90672.0 2923.49                                                                                                                                            	
92208.0 2907.95                                                                                                                                            	
93744.0 2892.60                                                                                                                                            	
95280.0 2877.46                                                                                                                                            	
96816.0 2862.50                                                                                                                                            	
98352.0 2847.73                                                                                                                                            	
99888.0 2833.14                                                                                                                                            	
1.01424E+5 2818.73                                                                                                                                         	
1.02960E+5 2804.50                                                                                                                                         	
1.04496E+5 2790.43                                                                                                                                         	
1.06032E+5 2776.54                                                                                                                                         	
1.07568E+5 2762.80                                                                                                                                         	
1.09104E+5 2749.23                                                                                                                                         	
1.10640E+5 2735.81                                                                                                                                         	
1.12176E+5 2722.55                                                                                                                                         	
1.13712E+5 2709.44                                                                                                                                         	
1.15248E+5 2696.48                                                                                                                                         	
1.16784E+5 2683.66                                                                                                                                         	
1.18320E+5 2670.98                                                                                                                                         	
1.19856E+5 2658.45                                                                                                                                         	
1.21392E+5 2646.05                                                                                                                                         	
1.22928E+5 2633.79                                                                                                                                         	
1.24464E+5 2621.65                                                                                                                                         	
1.26000E+5 2609.65                                                                                                                                         	
1.27536E+5 2597.77                                                                                                                                         	
1.29072E+5 2586.02                                                                                                                                         	
1.30608E+5 2574.39                                                                                                                                         	
1.32144E+5 2562.88                                                                                                                                         	
1.33680E+5 2551.49                                                                                                                                         	
1.35216E+5 2540.22                                                                                                                                         	
1.36752E+5 2529.06                                                                                                                                         	
1.38288E+5 2518.01                                                                                                                                         	
1.39824E+5 2507.07                                                                                                                                         	
1.41360E+5 2496.24                                                                                                                                         	
1.42896E+5 2485.52                                                                                                                                         	
1.44432E+5 2474.90                                                                                                                                         	
1.45968E+5 2464.38                                                                                                                                         	
1.47504E+5 2453.97                                                                                                                                         	
1.49040E+5 2443.66                                                                                                                                         	
1.50576E+5 2433.44                                                                                                                                         	
1.52112E+5 2423.32                                                                                                                                         	
1.53648E+5 2413.29                                                                                                                                         	
1.55184E+5 2403.36                                                                                                                                         	
1.56720E+5 2393.53                                                                                                                                         	
1.58256E+5 2383.78                                                                                                                                         	
1.59792E+5 2374.12                                                                                                                                         	
1.61328E+5 2364.54                                                                                                                                         	
1.62864E+5 2355.06                                                                                                                                         	
1.64400E+5 2345.66                                                                                                                                         	
1.65936E+5 2336.34                                                                                                                                         	
1.67472E+5 2327.11                                                                                                                                         	
1.69008E+5 2317.96                                                                                                                                         	
1.70544E+5 2308.88                                                                                                                                         	
1.72080E+5 2299.89                                                                                                                                         	
1.73616E+5 2290.97                                                                                                                                         	
1.75200E+5 2281.86                                                                                                                                         	
1.76736E+5 2273.10                                                                                                                                         	
1.78272E+5 2264.42                                                                                                                                         	
1.79808E+5 2255.80                                                                                                                                         	
1.81344E+5 2247.26                                                                                                                                         	
1.82880E+5 2238.79                                                                                                                                         	
1.84416E+5 2230.39                                                                                                                                         	
1.85952E+5 2222.06                                                                                                                                         	
1.87488E+5 2213.80                                                                                                                                         	
1.89024E+5 2205.61                                                                                                                                         	
1.90560E+5 2197.48                                                                                                                                         	
1.92096E+5 2189.42                                                                                                                                         	
1.93632E+5 2181.42                                                                                                                                         	
1.95168E+5 2173.49                                                                                                                                         	
1.96704E+5 2165.61                                                                                                                                         	
1.98240E+5 2157.81                                                                                                                                         	
1.99776E+5 2150.06                                                                                                                                         	
2.01312E+5 2142.37                                                                                                                                         	
2.02848E+5 2134.75                                                                                                                                         	
2.04384E+5 2127.18                                                                                                                                         	
2.05920E+5 2119.67                                                                                                                                         	
2.07456E+5 2112.22                                                                                                                                         	
2.08992E+5 2104.83                                                                                                                                         	
2.10528E+5 2097.49                                                                                                                                         	
2.12064E+5 2090.21                                                                                                                                         	
2.13600E+5 2082.98                                                                                                                                         	
2.15136E+5 2075.81                                                                                                                                         	
2.16672E+5 2068.69                                                                                                                                         	
2.18208E+5 2061.62                                                                                                                                         	
2.19744E+5 2054.61                                                                                                                                         	
2.21280E+5 2047.64                                                                                                                                         	
2.22816E+5 2040.73                                                                                                                                         	
2.24352E+5 2033.87                                                                                                                                         	
2.25888E+5 2027.05                                                                                                                                         	
2.27424E+5 2020.29                                                                                                                                         	
2.28960E+5 2013.57                                                                                                                                         	
2.30496E+5 2006.90                                                                                                                                         	
2.32032E+5 2000.28                                                                                                                                         	
2.33568E+5 1993.71                                                                                                                                         	
2.35104E+5 1987.18                                                                                                                                         	
2.36640E+5 1980.70                                                                                                                                         	
2.38176E+5 1974.26                                                                                                                                         	
2.39712E+5 1967.87                                                                                                                                         	
2.41248E+5 1961.52                                                                                                                                         	
2.42784E+5 1955.22                                                                                                                                         	
2.44320E+5 1948.95                                                                                                                                         	
2.45856E+5 1942.74                                                                                                                                         	
2.47392E+5 1936.56                                                                                                                                         	
2.48928E+5 1930.42                                                                                                                                         	
2.50464E+5 1924.33                                                                                                                                         	
2.52000E+5 1918.28                                                                                                                                         	
2.53536E+5 1912.27                                                                                                                                         	
2.55072E+5 1906.29                                                                                                                                         	
2.56608E+5 1900.36                                                                                                                                         	
2.58144E+5 1894.47                                                                                                                                         	
2.59680E+5 1888.61                                                                                                                                         	
2.61216E+5 1882.79                                                                                                                                         	
2.62800E+5 1876.84                                                                                                                                         	
2.64336E+5 1871.10                                                                                                                                         	
2.65872E+5 1865.39                                                                                                                                         	
2.67408E+5 1859.73                                                                                                                                         	
2.68944E+5 1854.10                                                                                                                                         	
2.70480E+5 1848.50                                                                                                                                         	
2.72016E+5 1842.94                                                                                                                                         	
2.73552E+5 1837.42                                                                                                                                         	
2.75088E+5 1831.93                                                                                                                                         	
2.76624E+5 1826.47                                                                                                                                         	
2.78160E+5 1821.05                                                                                                                                         	
2.79696E+5 1815.67                                                                                                                                         	
2.81232E+5 1810.31                                                                                                                                         	
2.82768E+5 1804.99                                                                                                                                         	
2.84304E+5 1799.71                                                                                                                                         	
2.85840E+5 1794.45                                                                                                                                         	
2.87376E+5 1789.23                                                                                                                                         	
2.88912E+5 1784.04                                                                                                                                         	
2.90448E+5 1778.88                                                                                                                                         	
2.91984E+5 1773.75                                                                                                                                         	
2.93520E+5 1768.65                                                                                                                                         	
2.95056E+5 1763.59                                                                                                                                         	
2.96592E+5 1758.55                                                                                                                                         	
2.98128E+5 1753.54                                                                                                                                         	
2.99664E+5 1748.57                                                                                                                                         	
3.01200E+5 1743.62                                                                                                                                         	
3.02736E+5 1738.70                                                                                                                                         	
3.04272E+5 1733.81                                                                                                                                         	
3.05808E+5 1728.95                                                                                                                                         	
3.07344E+5 1724.12                                                                                                                                         	
3.08880E+5 1719.31                                                                                                                                         	
3.10416E+5 1714.54                                                                                                                                         	
3.11952E+5 1709.79                                                                                                                                         	
3.13488E+5 1705.07                                                                                                                                         	
3.15024E+5 1700.37                                                                                                                                         	
3.16560E+5 1695.71                                                                                                                                         	
