Simulated gas rate (Surface) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas rate (Surface) (Run 1 - Model output - P01) - 1151 points_Gas rate	
(hr) (Mscf/D)                                                                                                                                                        	
0.00000 0.00000                                                                                                                                                      	
6.00000 11072.8                                                                                                                                                      	
7.92980 7705.80                                                                                                                                                      	
11.6687 5778.95                                                                                                                                                      	
19.1464 4334.62                                                                                                                                                      	
34.1018 3210.95                                                                                                                                                      	
64.0127 2347.21                                                                                                                                                      	
121.854 1708.65                                                                                                                                                      	
237.537 1229.98                                                                                                                                                      	
460.753 884.049                                                                                                                                                      	
855.477 645.772                                                                                                                                                      	
1585.43 472.725                                                                                                                                                      	
2999.81 343.385                                                                                                                                                      	
4535.81 274.491                                                                                                                                                      	
6071.81 233.483                                                                                                                                                      	
7607.81 205.982                                                                                                                                                      	
9143.81 186.062                                                                                                                                                      	
10679.8 170.846                                                                                                                                                      	
12215.8 158.766                                                                                                                                                      	
13751.8 148.891                                                                                                                                                      	
15287.8 140.631                                                                                                                                                      	
16823.8 133.594                                                                                                                                                      	
18359.8 127.508                                                                                                                                                      	
19895.8 122.177                                                                                                                                                      	
21431.8 117.458                                                                                                                                                      	
22967.8 113.242                                                                                                                                                      	
24503.8 109.447                                                                                                                                                      	
26039.8 106.007                                                                                                                                                      	
27575.8 102.870                                                                                                                                                      	
29111.8 99.9926                                                                                                                                                      	
30647.8 97.3419                                                                                                                                                      	
32183.8 94.8891                                                                                                                                                      	
33719.8 92.6104                                                                                                                                                      	
35255.8 90.4860                                                                                                                                                      	
36791.8 88.4989                                                                                                                                                      	
38327.8 86.6345                                                                                                                                                      	
39863.8 84.8803                                                                                                                                                      	
41399.8 83.2258                                                                                                                                                      	
42935.8 81.6612                                                                                                                                                      	
44471.8 80.1784                                                                                                                                                      	
46007.8 78.7702                                                                                                                                                      	
47543.8 77.4301                                                                                                                                                      	
49079.8 76.1524                                                                                                                                                      	
50615.8 74.9285                                                                                                                                                      	
52151.8 73.7613                                                                                                                                                      	
53687.8 72.6422                                                                                                                                                      	
55223.8 71.5683                                                                                                                                                      	
56759.8 70.5357                                                                                                                                                      	
58295.8 69.5422                                                                                                                                                      	
59831.8 68.5845                                                                                                                                                      	
61367.8 67.6607                                                                                                                                                      	
62903.8 66.7681                                                                                                                                                      	
64439.8 65.9050                                                                                                                                                      	
65975.8 65.0697                                                                                                                                                      	
67511.8 64.2601                                                                                                                                                      	
69047.8 63.4750                                                                                                                                                      	
70583.8 62.7128                                                                                                                                                      	
72119.8 61.9724                                                                                                                                                      	
73655.8 61.2523                                                                                                                                                      	
75191.8 60.5515                                                                                                                                                      	
76727.8 59.8691                                                                                                                                                      	
78263.8 59.2040                                                                                                                                                      	
79799.8 58.5554                                                                                                                                                      	
81335.8 57.9224                                                                                                                                                      	
82871.8 57.3044                                                                                                                                                      	
84407.8 56.7005                                                                                                                                                      	
85943.8 56.1102                                                                                                                                                      	
87600.0 55.4884                                                                                                                                                      	
89136.0 54.9246                                                                                                                                                      	
90672.0 54.3722                                                                                                                                                      	
92208.0 53.8313                                                                                                                                                      	
93744.0 53.3012                                                                                                                                                      	
95280.0 52.7816                                                                                                                                                      	
