Simulated gas cumulative (Surface) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas cumulative (Surface) (Run 1 - Model output - P01) - 1151 points_Gas volume	
(hr) (scf)                                                                                                                                                                         	
0.00000 0.00000                                                                                                                                                                    	
6.00000 2.76820E+6                                                                                                                                                                 	
7.92980 3.38781E+6                                                                                                                                                                 	
11.6687 4.28809E+6                                                                                                                                                                 	
19.1464 5.63863E+6                                                                                                                                                                 	
34.1018 7.63951E+6                                                                                                                                                                 	
64.0127 1.05648E+7                                                                                                                                                                 	
121.854 1.46828E+7                                                                                                                                                                 	
237.537 2.06114E+7                                                                                                                                                                 	
460.753 2.88337E+7                                                                                                                                                                 	
855.477 3.94546E+7                                                                                                                                                                 	
1585.43 5.38323E+7                                                                                                                                                                 	
2999.81 7.40689E+7                                                                                                                                                                 	
4535.81 9.16364E+7                                                                                                                                                                 	
6071.81 1.06579E+8                                                                                                                                                                 	
7607.81 1.19762E+8                                                                                                                                                                 	
9143.81 1.31670E+8                                                                                                                                                                 	
10679.8 1.42604E+8                                                                                                                                                                 	
12215.8 1.52765E+8                                                                                                                                                                 	
13751.8 1.62294E+8                                                                                                                                                                 	
15287.8 1.71295E+8                                                                                                                                                                 	
16823.8 1.79845E+8                                                                                                                                                                 	
18359.8 1.88005E+8                                                                                                                                                                 	
19895.8 1.95825E+8                                                                                                                                                                 	
21431.8 2.03342E+8                                                                                                                                                                 	
22967.8 2.10589E+8                                                                                                                                                                 	
24503.8 2.17594E+8                                                                                                                                                                 	
26039.8 2.24378E+8                                                                                                                                                                 	
27575.8 2.30962E+8                                                                                                                                                                 	
29111.8 2.37362E+8                                                                                                                                                                 	
30647.8 2.43591E+8                                                                                                                                                                 	
32183.8 2.49664E+8                                                                                                                                                                 	
33719.8 2.55591E+8                                                                                                                                                                 	
35255.8 2.61383E+8                                                                                                                                                                 	
36791.8 2.67046E+8                                                                                                                                                                 	
38327.8 2.72591E+8                                                                                                                                                                 	
39863.8 2.78023E+8                                                                                                                                                                 	
41399.8 2.83350E+8                                                                                                                                                                 	
42935.8 2.88576E+8                                                                                                                                                                 	
44471.8 2.93708E+8                                                                                                                                                                 	
46007.8 2.98749E+8                                                                                                                                                                 	
47543.8 3.03704E+8                                                                                                                                                                 	
49079.8 3.08578E+8                                                                                                                                                                 	
50615.8 3.13374E+8                                                                                                                                                                 	
52151.8 3.18094E+8                                                                                                                                                                 	
53687.8 3.22743E+8                                                                                                                                                                 	
55223.8 3.27324E+8                                                                                                                                                                 	
56759.8 3.31838E+8                                                                                                                                                                 	
58295.8 3.36289E+8                                                                                                                                                                 	
59831.8 3.40678E+8                                                                                                                                                                 	
61367.8 3.45008E+8                                                                                                                                                                 	
62903.8 3.49282E+8                                                                                                                                                                 	
64439.8 3.53500E+8                                                                                                                                                                 	
65975.8 3.57664E+8                                                                                                                                                                 	
67511.8 3.61777E+8                                                                                                                                                                 	
69047.8 3.65839E+8                                                                                                                                                                 	
70583.8 3.69853E+8                                                                                                                                                                 	
72119.8 3.73819E+8                                                                                                                                                                 	
73655.8 3.77739E+8                                                                                                                                                                 	
75191.8 3.81614E+8                                                                                                                                                                 	
76727.8 3.85446E+8                                                                                                                                                                 	
78263.8 3.89235E+8                                                                                                                                                                 	
79799.8 3.92983E+8                                                                                                                                                                 	
81335.8 3.96690E+8                                                                                                                                                                 	
82871.8 4.00357E+8                                                                                                                                                                 	
84407.8 4.03986E+8                                                                                                                                                                 	
85943.8 4.07577E+8                                                                                                                                                                 	
87600.0 4.11406E+8                                                                                                                                                                 	
89136.0 4.14921E+8                                                                                                                                                                 	
90672.0 4.18401E+8                                                                                                                                                                 	
92208.0 4.21846E+8                                                                                                                                                                 	
93744.0 4.25258E+8                                                                                                                                                                 	
95280.0 4.28636E+8                                                                                                                                                                 	
96816.0 4.31981E+8                                                                                                                                                                 	
98352.0 4.35294E+8                                                                                                                                                                 	
99888.0 4.38576E+8                                                                                                                                                                 	
1.01424E+5 4.41827E+8                                                                                                                                                              	
1.02960E+5 4.45048E+8                                                                                                                                                              	
1.04496E+5 4.48239E+8                                                                                                                                                              	
1.06032E+5 4.51401E+8                                                                                                                                                              	
1.07568E+5 4.54534E+8                                                                                                                                                              	
1.09104E+5 4.57639E+8                                                                                                                                                              	
1.10640E+5 4.60716E+8                                                                                                                                                              	
1.12176E+5 4.63766E+8                                                                                                                                                              	
1.13712E+5 4.66789E+8                                                                                                                                                              	
1.15248E+5 4.69785E+8                                                                                                                                                              	
1.16784E+5 4.72756E+8                                                                                                                                                              	
1.18320E+5 4.75700E+8                                                                                                                                                              	
1.19856E+5 4.78620E+8                                                                                                                                                              	
1.21392E+5 4.81514E+8                                                                                                                                                              	
1.22928E+5 4.84384E+8                                                                                                                                                              	
1.24464E+5 4.87230E+8                                                                                                                                                              	
1.26000E+5 4.90052E+8                                                                                                                                                              	
1.27536E+5 4.92850E+8                                                                                                                                                              	
1.29072E+5 4.95626E+8                                                                                                                                                              	
1.30608E+5 4.98378E+8                                                                                                                                                              	
1.32144E+5 5.01108E+8                                                                                                                                                              	
1.33680E+5 5.03816E+8                                                                                                                                                              	
1.35216E+5 5.06502E+8                                                                                                                                                              	
1.36752E+5 5.09167E+8                                                                                                                                                              	
1.38288E+5 5.11810E+8                                                                                                                                                              	
1.39824E+5 5.14432E+8                                                                                                                                                              	
1.41360E+5 5.17033E+8                                                                                                                                                              	
1.42896E+5 5.19614E+8                                                                                                                                                              	
1.44432E+5 5.22174E+8                                                                                                                                                              	
1.45968E+5 5.24715E+8                                                                                                                                                              	
1.47504E+5 5.27236E+8                                                                                                                                                              	
1.49040E+5 5.29737E+8                                                                                                                                                              	
1.50576E+5 5.32219E+8                                                                                                                                                              	
1.52112E+5 5.34682E+8                                                                                                                                                              	
1.53648E+5 5.37127E+8                                                                                                                                                              	
1.55184E+5 5.39553E+8                                                                                                                                                              	
1.56720E+5 5.41960E+8                                                                                                                                                              	
